Date,ipo_name,issue_size_cr,qib_subscription,hni_subscription,rii_subscription,total_subscription,issue_price,listing_open,listing_close,listing_gains_pct,cmp,Current  Gains (%),Year,Month,Quarter,listing_gain_abs,performance_category,nifty_close,nifty_30d_return,Month_Name
2012-12-27,PC Jeweller,609.3,7.33,18.12,1.68,6.85,135.0,137.0,74.5,-44.81,24.6,-81.78,2012,12,4,-60.5,Loss,5870.1,3.279553811777558,Dec
2012-12-28,INDUS TOWERS,4533.6,2.84,0.1,0.06,1.21,220.0,200.0,191.2,-13.09,222.15,0.98,2012,12,4,-28.80000000000001,Loss,5908.35,4.259787010649485,Dec
2013-04-01,Repco Home,270.38,3.39,0.35,0.51,1.65,172.0,159.95,160.85,-6.48,340.0,97.67,2013,4,2,-11.150000000000006,Loss,5704.4,-3.265247288852713,Apr
2013-06-05,Just Dial,950.0,10.12,22.34,3.53,11.63,530.0,590.0,611.45,15.37,964.15,81.92,2013,6,2,81.45000000000005,Moderate,5923.85,1.489660607514276,Jun
2014-05-09,Wonderla,181.25,16.71,159.04,7.56,38.06,125.0,164.75,157.6,26.08,244.5,95.6,2014,5,2,32.599999999999994,Moderate,6858.8,5.602857626753299,May
2014-09-12,Snowman Logist,197.4,16.98,221.79,41.26,59.75,47.0,75.0,78.75,67.55,50.5,7.45,2014,9,3,31.75,Blockbuster,8105.5,4.031367918474227,Sep
2014-09-23,Sharda Crop,352.0,32.06,251.35,5.85,59.97,156.0,254.1,231.45,48.37,347.9,123.01,2014,9,3,75.44999999999999,Strong,8017.55,5.932444127342751,Sep
2014-10-01,Shemaroo Ent,120.0,5.69,8.64,7.79,7.39,170.0,180.0,171.0,0.59,127.1,-25.24,2014,10,4,1.0,Weak,7945.55,0.6084203861981718,Oct
2014-12-19,Monte Carlo,342.28,13.96,1.71,6.96,7.83,645.0,585.0,566.4,-12.19,379.8,-41.12,2014,12,4,-78.60000000000002,Loss,8225.2,-1.341009955619521,Dec
2015-03-19,Ortel Comm,240.0,1.01,0.09,0.39,0.75,181.0,181.0,171.95,-5.0,1.29,-99.29,2015,3,1,-9.050000000000011,Loss,8634.65,-1.0207824661554232,Mar
2015-04-06,Imagicaaworld,467.0,1.17,0.49,1.37,1.11,180.0,167.95,191.25,6.25,8.64,-95.2,2015,4,2,11.25,Weak,8659.9,-2.646341326318391,Apr
2015-04-09,Inox Wind,700.0,35.68,35.38,2.15,18.6,325.0,400.0,438.0,34.77,141.9,-56.34,2015,4,2,113.0,Strong,8778.3,0.18488718457903,Apr
2015-04-30,VRL Logistics,473.88,58.22,250.86,7.92,74.26,205.0,288.0,293.3,43.07,303.65,48.12,2015,4,2,88.30000000000001,Strong,8181.5,-5.231578276758764,Apr
2015-05-06,MEP Infra,324.0,1.02,1.51,0.97,1.11,63.0,63.0,60.95,-3.25,23.2,-63.17,2015,5,2,-2.049999999999997,Loss,8097.0,-6.2266565523790725,May
2015-05-14,UFO Moviez,600.0,4.49,1.17,1.02,2.04,625.0,600.0,598.8,-4.19,105.75,-83.08,2015,5,2,-26.200000000000045,Loss,8224.2,-1.4050399213561104,May
2015-05-26,PNC Infratech,488.0,4.51,0.65,0.28,1.56,378.0,381.0,72.04,-80.94,314.2,-16.88,2015,5,2,-305.96,Loss,8339.35,-5.022578826584356,May
2015-07-09,Manpasand Bever,400.0,1.99,0.38,1.16,1.4,320.0,291.0,163.43,-48.93,6.14,-98.08,2015,7,3,-156.57,Loss,8328.55,0.1147974516167771,Jul
2015-08-11,Syngene Intl,550.0,51.47,90.24,4.78,32.05,250.0,295.0,155.2,-37.92,637.75,155.1,2015,8,3,-94.8,Loss,8462.35,1.1214674075401776,Aug
2015-08-26,Power Mech,273.22,27.53,133.22,3.42,38.12,640.0,600.0,585.75,-8.48,815.0,27.34,2015,8,3,-54.25,Loss,7791.85,-8.587132499589378,Aug
2015-09-09,Navkar Corp,600.0,6.47,0.9,1.62,2.85,155.0,152.0,166.4,7.35,49.45,-68.1,2015,9,3,11.400000000000006,Weak,7818.6,-6.644139437973495,Sep
2015-09-10,Pennar Eng,156.19,0.0,0.04,0.11,0.07,178.0,177.95,157.5,-11.52,63.85,-64.13,2015,9,3,-20.5,Loss,7788.1,-7.524519698876708,Sep
2015-09-10,Shree Pushkar,70.0,0.97,2.09,1.54,1.34,65.0,60.05,63.0,-3.08,172.8,165.85,2015,9,3,-2.0,Loss,7788.1,-7.524519698876708,Sep
2015-09-16,Sadbhav Infra,425.0,3.04,1.66,1.69,2.24,103.0,111.0,106.15,3.06,28.4,-72.43,2015,9,3,3.1500000000000057,Weak,7899.15,-7.805834534515266,Sep
2015-09-21,Prabhat Dairy,300.0,0.88,1.42,0.34,0.77,115.0,113.0,116.35,1.17,99.65,-13.35,2015,9,3,1.3499999999999943,Weak,7977.1,-6.859631506433461,Sep
2015-11-02,Coffee Day,1150.0,4.39,0.54,0.9,1.82,328.0,313.0,270.15,-17.64,41.0,-87.5,2015,11,4,-57.85000000000002,Loss,8050.8,2.83174311223513,Nov
2015-11-10,Interglobe Avi,3000.0,17.8,3.57,0.92,6.15,765.0,868.0,878.45,14.83,1668.0,118.04,2015,11,4,113.45000000000005,Moderate,7783.35,-1.0821630552201755,Nov
2015-11-16,S H Kelkar,200.0,0.0,0.0,0.0,0.0,180.0,216.0,207.3,15.17,169.1,-6.06,2015,11,4,27.30000000000001,Moderate,7806.6,-1.7901848054447722,Nov
2015-12-23,Alkem Lab,1349.6,57.19,129.96,3.17,44.29,1050.0,1380.0,1381.45,31.57,3454.55,229.0,2015,12,4,331.45000000000005,Strong,7865.95,-0.6222205376996137,Dec
2015-12-23,Dr Lal PathLab,638.0,63.56,61.28,4.24,33.41,550.0,717.0,824.15,49.85,3554.55,546.28,2015,12,4,274.15,Strong,7865.95,-0.6222205376996137,Dec
2016-01-06,Narayana Hruda,613.0,0.01,0.01,0.13,0.07,250.0,291.0,336.7,34.68,489.0,95.6,2016,1,1,86.69999999999999,Strong,7741.0,-1.379112654075232,Jan
2016-02-08,Precision Camsh,410.0,2.62,0.73,2.01,1.91,186.0,165.0,177.25,-4.7,109.05,-41.37,2016,2,1,-8.75,Loss,7387.25,-6.027184663626361,Feb
2016-02-12,TeamLease Ser.,273.68,26.97,185.24,10.61,66.02,850.0,860.0,1021.95,20.23,4256.05,400.71,2016,2,1,171.95000000000005,Moderate,6980.95,-12.14897405727159,Feb
2016-02-18,Quick Heal Tech,450.0,4.34,36.69,3.82,10.8,321.0,305.0,254.45,-20.73,303.25,-5.53,2016,2,1,-66.55000000000001,Loss,7191.75,-7.095336519829476,Feb
2016-04-01,Bharat Wire Rop,70.0,1.01,2.02,2.08,1.21,45.0,47.25,45.4,0.89,79.05,75.67,2016,4,2,0.3999999999999986,Weak,7713.05,9.432128542546025,Apr
2016-04-21,Equitas Holding,2159.0,14.93,57.29,1.4,17.21,110.0,145.1,135.25,22.95,128.5,16.82,2016,4,2,25.25,Moderate,7912.05,7.371570869267252,Apr
2016-05-09,Thyrocare Techn,479.21,73.18,225.3,8.73,73.55,446.0,662.0,618.1,38.59,1306.5,192.94,2016,5,2,172.10000000000002,Strong,7866.05,2.100139533374445,May
2016-05-10,Ujjivan Financi,358.16,33.84,135.45,4.02,40.68,210.0,231.9,231.6,10.29,239.75,14.17,2016,5,2,21.599999999999994,Moderate,7887.8,2.241117836912987,May
