Date,IPO Name,Profile,Issue Size (in crores),QIB,HNI,RII,Total,Issue,Listing Open,Listing Close,Listing Gains(%),CMP,Current  Gains (%)
31-08-16,RBL Bank,https://www.moneycontrol.com/ipo/rbl-bank_RB02.html,1100.0,85.08,198.06,5.7,69.62,225.0,274.4,299.3,33.02,192.95,-14.24
12-08-16,S P Apparels,https://www.moneycontrol.com/ipo/s-p-apparels_A09.html,215.0,1.0,0.45,0.54,0.66,268.0,275.0,295.0,10.07,324.05,20.91
11-08-16,Dilip Buildcon,https://www.moneycontrol.com/ipo/dilip-buildcon_DB03.html,430.0,0.0,0.0,0.0,0.0,219.0,240.0,251.95,15.05,560.00,155.71
01-08-16,Advanced Enzyme,https://www.moneycontrol.com/ipo/advanced-enzyme_AET02.html,60.0,94.03,393.1,11.67,116.02,896.0,1210.0,235.66,-73.7,399.45,-55.42
21-07-16,L&T Infotech,https://www.moneycontrol.com/ipo/landt-infotech_LI09.html,1242.0,19.91,10.76,7.39,11.69,710.0,667.0,697.65,-1.74,"4,684.80",559.83
12-07-16,Quess Corp,https://www.moneycontrol.com/ipo/quess-corp_QC.html,400.0,59.02,392.21,31.23,143.99,317.0,500.0,503.0,58.68,867.20,173.56
01-07-16,Mahanagar Gas,https://www.moneycontrol.com/ipo/mahanagar-gas_MG02.html,1039.64,72.84,191.61,6.82,64.54,421.0,540.0,519.9,23.49,"1,165.95",176.95
19-05-16,Parag Milk Food,https://www.moneycontrol.com/ipo/parag-milk-food_PMF01.html,764.3,1.15,3.08,2.12,1.83,215.0,230.0,247.8,15.26,138.55,-35.56
10-05-16,Ujjivan Financi,https://www.moneycontrol.com/ipo/ujjivan-financi_UFS01.html,358.16,33.84,135.45,4.02,40.68,210.0,231.9,231.6,10.29,239.75,14.17
09-05-16,Thyrocare Techn,https://www.moneycontrol.com/ipo/thyrocare-techn_TT14.html,479.21,73.18,225.3,8.73,73.55,446.0,662.0,618.1,38.59,"1,306.50",192.94
21-04-16,Equitas Holding,https://www.moneycontrol.com/ipo/equitas-holding_EH03.html,2159.0,14.93,57.29,1.4,17.21,110.0,145.1,135.25,22.95,128.50,16.82
01-04-16,Bharat Wire Rop,https://www.moneycontrol.com/ipo/bharat-wire-rop_BWR01.html,70.0,1.01,2.02,2.08,1.21,45.0,47.25,45.4,0.89,79.05,75.67
18-02-16,Quick Heal Tech,https://www.moneycontrol.com/ipo/quick-heal-tech_QHT.html,450.0,4.34,36.69,3.82,10.8,321.0,305.0,254.45,-20.73,303.25,-5.53
12-02-16,TeamLease Ser.,https://www.moneycontrol.com/ipo/teamlease-ser._TS15.html,273.68,26.97,185.24,10.61,66.02,850.0,860.0,1021.95,20.23,"4,256.05",400.71
08-02-16,Precision Camsh,https://www.moneycontrol.com/ipo/precision-camsh_PC24.html,410.0,2.62,0.73,2.01,1.91,186.0,165.0,177.25,-4.7,109.05,-41.37
06-01-16,Narayana Hruda,https://www.moneycontrol.com/ipo/narayana-hruda_NH.html,613.0,0.01,0.01,0.13,0.07,250.0,291.0,336.7,34.68,489.00,95.6
23-12-15,Dr Lal PathLab,https://www.moneycontrol.com/ipo/dr-lal-pathlab_DLP01.html,638.0,63.56,61.28,4.24,33.41,550.0,717.0,824.15,49.85,"3,554.55",546.28
23-12-15,Alkem Lab,https://www.moneycontrol.com/ipo/alkem-lab_AL16.html,1349.6,57.19,129.96,3.17,44.29,1050.0,1380.0,1381.45,31.57,"3,454.55",229.0
16-11-15,S H Kelkar,https://www.moneycontrol.com/ipo/s-h-kelkar_KC17.html,200.0,0.0,0.0,0.0,0.0,180.0,216.0,207.3,15.17,169.10,-6.06
10-11-15,Interglobe Avi,https://www.moneycontrol.com/ipo/interglobe-avi_IA05.html,3000.0,17.8,3.57,0.92,6.15,765.0,868.0,878.45,14.83,"1,668.00",118.04
02-11-15,Coffee Day,https://www.moneycontrol.com/ipo/coffee-day_CDE.html,1150.0,4.39,0.54,0.9,1.82,328.0,313.0,270.15,-17.64,41.00,-87.5
21-09-15,Prabhat Dairy,https://www.moneycontrol.com/ipo/prabhat-dairy_PD07.html,300.0,0.88,1.42,0.34,0.77,115.0,113.0,116.35,1.17,99.65,-13.35
16-09-15,Sadbhav Infra,https://www.moneycontrol.com/ipo/sadbhav-infra_SIP.html,425.0,3.04,1.66,1.69,2.24,103.0,111.0,106.15,3.06,28.40,-72.43
10-09-15,Shree Pushkar,https://www.moneycontrol.com/ipo/shree-pushkar_SPC03.html,70.0,0.97,2.09,1.54,1.34,65.0,60.05,63.0,-3.08,172.80,165.85
10-09-15,Pennar Eng,https://www.moneycontrol.com/ipo/pennar-eng_PEB.html,156.19,0.0,0.04,0.11,0.07,178.0,177.95,157.5,-11.52,63.85,-64.13
09-09-15,Navkar Corp,https://www.moneycontrol.com/ipo/navkar-corp_NC09.html,600.0,6.47,0.9,1.62,2.85,155.0,152.0,166.4,7.35,49.45,-68.1
26-08-15,Power Mech,https://www.moneycontrol.com/ipo/power-mech_PMP.html,273.22,27.53,133.22,3.42,38.12,640.0,600.0,585.75,-8.48,815.00,27.34
11-08-15,Syngene Intl,https://www.moneycontrol.com/ipo/syngene-intl_SI62.html,550.0,51.47,90.24,4.78,32.05,250.0,295.0,155.2,-37.92,637.75,155.1
09-07-15,Manpasand Bever,https://www.moneycontrol.com/ipo/manpasand-bever_MB03.html,400.0,1.99,0.38,1.16,1.4,320.0,291.0,163.43,-48.93,6.14,-98.08
26-05-15,PNC Infratech,https://www.moneycontrol.com/ipo/pnc-infratech_PI29.html,488.0,4.51,0.65,0.28,1.56,378.0,381.0,72.04,-80.94,314.20,-16.88
14-05-15,UFO Moviez,https://www.moneycontrol.com/ipo/ufo-moviez_UMI03.html,600.0,4.49,1.17,1.02,2.04,625.0,600.0,598.8,-4.19,105.75,-83.08
06-05-15,MEP Infra,https://www.moneycontrol.com/ipo/mep-infra_MID.html,324.0,1.02,1.51,0.97,1.11,63.0,63.0,60.95,-3.25,23.20,-63.17
30-04-15,VRL Logistics,https://www.moneycontrol.com/ipo/vrl-logistics_VL08.html,473.88,58.22,250.86,7.92,74.26,205.0,288.0,293.3,43.07,303.65,48.12
09-04-15,Inox Wind,https://www.moneycontrol.com/ipo/inox-wind_IW.html,700.0,35.68,35.38,2.15,18.6,325.0,400.0,438.0,34.77,141.90,-56.34
06-04-15,Imagicaaworld,https://www.moneycontrol.com/ipo/imagicaaworld_AE16.html,467.0,1.17,0.49,1.37,1.11,180.0,167.95,191.25,6.25,8.64,-95.2
19-03-15,Ortel Comm,https://www.moneycontrol.com/ipo/ortel-comm_OC13.html,240.0,1.01,0.09,0.39,0.75,181.0,181.0,171.95,-5.0,1.29,-99.29
19-12-14,Monte Carlo,https://www.moneycontrol.com/ipo/monte-carlo_MC19.html,342.28,13.96,1.71,6.96,7.83,645.0,585.0,566.4,-12.19,379.80,-41.12
01-10-14,Shemaroo Ent,https://www.moneycontrol.com/ipo/shemaroo-ent_SE22.html,120.0,5.69,8.64,7.79,7.39,170.0,180.0,171.0,0.59,127.10,-25.24
23-09-14,Sharda Crop,https://www.moneycontrol.com/ipo/sharda-crop_SC47.html,352.0,32.06,251.35,5.85,59.97,156.0,254.1,231.45,48.37,347.90,123.01
12-09-14,Snowman Logist,https://www.moneycontrol.com/ipo/snowman-logist_SL16.html,197.4,16.98,221.79,41.26,59.75,47.0,75.0,78.75,67.55,50.50,7.45
09-05-14,Wonderla,https://www.moneycontrol.com/ipo/wonderla_WH03.html,181.25,16.71,159.04,7.56,38.06,125.0,164.75,157.6,26.08,244.50,95.6
05-06-13,Just Dial,https://www.moneycontrol.com/ipo/just-dial_JD02.html,950.0,10.12,22.34,3.53,11.63,530.0,590.0,611.45,15.37,964.15,81.92
01-04-13,Repco Home,https://www.moneycontrol.com/ipo/repco-home_RHF01.html,270.38,3.39,0.35,0.51,1.65,172.0,159.95,160.85,-6.48,340.00,97.67
28-12-12,INDUS TOWERS,https://www.moneycontrol.com/ipo/indus-towers_BI26.html,4533.6,2.84,0.1,0.06,1.21,220.0,200.0,191.2,-13.09,222.15,0.98
